time,open,high,low,close,volume,ema15,ema50,ema100,ema200,sma300,ema_trend,touching15,touching200,entry_cross15_bull,entry_cross15_bear,entryPos1,entryPos2,entryPos1_time,valleybull,valleybear,inEntry,entrySL,entryTP,entryType,inPB,hl,entryPos2_time
2021-01-11 12:30,364.06,364.33,363.96,364.33,8954,364.2842049371874,364.4884943259038,364.76205710465996,365.3037648249471,366.029258,down,yes,no,yes,unk,1529,-1,2021-01-11 12:30,-1,364.5449,364.185,364.56489999999997,363.80510000000004,bear,yes,363.86,
2021-01-11 12:31,364.38,364.53,364.32800000000003,364.44,5320,364.30367932003895,364.4865925876331,364.75567973625084,365.29517015007207,366.0178246666667,down,no,no,unk,unk,1529,-1,2021-01-11 12:30,-1,364.5449,364.185,364.56489999999997,363.80510000000004,bear,yes,363.86,
2021-01-11 12:32,364.44,364.67,364.32,364.635,13851,364.34509440503405,364.4924124861573,364.7532900385033,365.28860129285744,366.0071746666667,down,no,no,unk,unk,1529,-1,2021-01-11 12:30,-1,364.67,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:33,364.6,364.6,364.28,364.285,7471,364.33758260440476,364.4842786631708,364.7440169684339,365.27861521034146,365.99408833333337,down,yes,no,unk,yes,1529,1532,2021-01-11 12:30,-1,364.67,-1.0,-1.0,-1.0,,yes,363.86,2021-01-11 12:33
2021-01-11 12:34,364.295,364.42,364.26,364.275,4166,364.32975977885417,364.476071656772,364.73472950371246,365.26862898934303,365.98103833333334,down,no,no,unk,unk,1529,1532,2021-01-11 12:30,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,2021-01-11 12:33
2021-01-11 12:35,364.24,364.24,364.1138,364.1937,5927,364.3127523064974,364.4649982584672,364.7240160481934,365.25793317850383,365.96851733333335,down,no,no,unk,unk,1529,1532,2021-01-11 12:30,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,2021-01-11 12:33
2021-01-11 12:36,364.19,364.27,364.18,364.27,4096,364.3074082681852,364.4573512679391,364.71502563139745,365.24810299762316,365.9562173333333,down,no,no,unk,unk,1529,1532,2021-01-11 12:30,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,2021-01-11 12:33
2021-01-11 12:37,364.32,364.32,364.1,364.165,5047,364.28960723466207,364.4458865123337,364.7041340347361,365.2373258533682,365.943034,down,yes,no,unk,yes,1529,1532,2021-01-11 12:30,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,2021-01-11 12:33
2021-01-11 12:38,364.11,364.11,363.94,363.98,9810,364.2509063303293,364.4276164530265,364.6897947469196,365.22481514835954,365.929334,down,no,no,unk,unk,1529,1532,2021-01-11 12:30,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,2021-01-11 12:33
2021-01-11 12:39,364.01,364.07,363.95,363.95,5249,364.21329303903815,364.40888639604503,364.6751453459905,365.21213042051517,365.9164676666667,down,no,no,unk,unk,1529,1532,2021-01-11 12:30,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,2021-01-11 12:33
2021-01-11 12:40,363.95,364.02,363.89,364.0066,6715,364.1874564091584,364.3931104589452,364.6619068242877,365.2001350929479,365.90415633333333,down,no,no,unk,unk,1529,1532,2021-01-11 12:30,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,2021-01-11 12:33
2021-01-11 12:41,364.02,364.27,363.97,364.27,6758,364.1977743580136,364.38828259781013,364.6541462931137,365.1908800173962,365.8926563333333,down,yes,no,yes,unk,1540,-1,2021-01-11 12:41,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,
2021-01-11 12:42,364.3,364.33,364.2,364.2599,6361,364.2055400632619,364.3832479861313,364.6463394358243,365.1816165346361,365.8809726666667,down,no,no,unk,unk,1540,-1,2021-01-11 12:41,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,
2021-01-11 12:43,364.23,364.31,364.23,364.235,3557,364.2092225553542,364.3774343396164,364.6381941004614,365.17219746463974,365.86958933333335,down,no,no,unk,unk,1540,-1,2021-01-11 12:41,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,
2021-01-11 12:44,364.2549,364.49,364.2549,364.49,5532,364.24431973593494,364.38184867923934,364.63525956381864,365.1654094301657,365.8591893333334,down,no,no,unk,unk,1540,-1,2021-01-11 12:41,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,
2021-01-11 12:45,364.49,364.56,364.365,364.495,11552,364.27565476894307,364.38628598593584,364.6324821467133,365.1587386895671,365.8488943333334,down,no,no,unk,unk,1540,-1,2021-01-11 12:41,-1,364.67,364.275,364.69,363.85999999999996,bear,yes,363.86,
2021-01-11 12:46,364.53,364.7639,364.495,364.7639,5656,364.33668542282516,364.40109437864425,364.6350844804417,365.15480994638733,365.8395740000001,down,no,no,unk,unk,1540,-1,2021-01-11 12:41,-1,364.7639,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:47,364.7508,364.9751,364.7508,364.875,6701,364.403974744972,364.4196789128151,364.6398352828092,365.1520257678164,365.8304240000001,down,no,no,unk,unk,1540,-1,2021-01-11 12:41,-1,364.9751,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:48,364.86,364.895,364.7245,364.7887,8871,364.4520654018505,364.4341503279988,364.6427830989912,365.1484105860471,365.8210863333335,down,no,no,unk,unk,1540,-1,2021-01-11 12:41,-1,364.9751,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:49,364.74,364.75,364.5774,364.64,6027,364.4755572266192,364.4422228641557,364.64272798812004,365.1433517742456,365.8123196666668,down,no,no,unk,unk,1540,-1,2021-01-11 12:41,-1,364.9751,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:50,364.64,364.78,364.54,364.71,8654,364.5048625732918,364.4527239283065,364.6440601071672,365.13903981629295,365.8044863333335,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,363.86,
2021-01-11 12:51,364.67,364.69,364.564,364.6,7037,364.51675475163034,364.4584994605298,364.6431876297976,365.13367623603136,365.79677200000015,down,no,no,unk,unk,-1,-1,,-1,-1.0,-1.0,-1.0,-1.0,,yes,363.86,
